[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:46] [trace] VEKTOR: Delta time: 0.004139662 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012522697 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 148.891, 561.168
[17:50:46] [trace] VEKTOR: Delta time: 0.0038661957 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012790203 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 145.789, 561.941
[17:50:46] [trace] VEKTOR: Delta time: 0.0037093163 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 144.746, 562.285
[17:50:46] [trace] VEKTOR: Delta time: 0.012990475 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 142.152, 563.402
[17:50:46] [trace] VEKTOR: Delta time: 0.0051636696 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01148653 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 140.066, 564.09
[17:50:46] [trace] VEKTOR: Delta time: 0.0047268867 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011924267 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 138.84, 565.004
[17:50:46] [trace] VEKTOR: Delta time: 0.004343033 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012345076 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 137.613, 565.613
[17:50:46] [trace] VEKTOR: Delta time: 0.0052423477 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011471033 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 136.73, 566.184
[17:50:46] [trace] VEKTOR: Delta time: 0.0046112537 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011996031 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 135.848, 566.754
[17:50:46] [trace] VEKTOR: Delta time: 0.0040991306 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.012641907 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 134.621, 567.059
[17:50:47] [trace] VEKTOR: Delta time: 0.003541708 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.01315856 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 132.965, 567.707
[17:50:47] [trace] VEKTOR: Delta time: 0.0041143894 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.012434006 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 131.738, 568.316
[17:50:47] [trace] VEKTOR: Delta time: 0.0041718483 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.012528181 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 130.082, 568.621
[17:50:47] [trace] VEKTOR: Delta time: 0.004231453 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.012487173 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 129.199, 568.621
[17:50:47] [trace] VEKTOR: Delta time: 0.004072666 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.0125284195 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.004030466 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseButtonPressedEvent: 0
[17:50:47] [trace] VEKTOR: Delta time: 0.012602091 seconds
[17:50:47] [trace] VEKTOR: Delta time: 0.003786087 seconds
[17:50:47] [trace] VEKTOR: Event received: MouseMovedEvent: 129.07, 568.621
